character,count
Charlotte Katakuri,30
Monkey D. Luffy,565
Trafalgar D. Water Law,80
Akainu,97
Roronoa Zoro,250
Kizaru,130
King,72
Imu,76
Shiryu,17
Shanks,193
Kaidou,176
Marshall D. Teach,81
Sanji,175
Nami,78
Portgas D. Ace,36
Laffitte,2
Jesus Burgess,2
Van Augur,15
Catarina Devon,2
Queen,33
Sabo,28
Holy,18
Fujitora,19
Dracule Mihawk,130
Yamato,47
Arlong,29
Eustass Kid,49
Aokiji,73
Killer,21
Rob Lucci,64
Monkey D. Dragon,56
Kanjuro,6
Viola,6
Donquixote Doflamingo,14
Raizo,4
Monkey D. Garp,98
Garp,98
Koby,39
Helmeppo,3
Marco,17
Sengoku,17
Caesar Clown,6
Nico Robin,57
Bellamy,6
Urouge,6
Donquixote Rosinante,4
Fukaboshi,1
Shirahoshi,5
Jinbe,30
Charlotte Cracker,8
Richie,1
Buggy,39
Edward Newgate,23
Vergo,6
Enel,21
Bepo,6
Jack,8
Kawamatsu,3
Vista,23
Tony Tony Chopper,23
Nefertari Vivi,11
Tashigi,11
Brook,22
Apoo,6
Gecko Moria,12
Sugar,6
Sandersonia,1
Silvers Rayleigh,13
Ryokugyu,6
Perona,5
Kokoro,1
Ryuma,7
Usopp,67
Kaya,2
Rebecca,11
Capone Bege,7
Magellan,6
Drake,7
Smoker,14
Jozu,2
Crocodile,29
Rocks D. Xebec,18
Merry,6
Yasopp,5
Koala,1
Tsuru,6
Camie,1
Bartholomew Kuma,33
Coby,5
Boa Hancock,15
Cabaji,2
Blueno,1
Kaku,6
Pedro,2
Jaguar D. Saul,37
Jango,1
Sai,2
Alvida,5
Riku Doldo III,1
Franky,16
Sogeking,1
Carrot,8
Wapol,5
Hody Jones,4
Hawkins,3
Makino,2
Charlotte Pudding,4
Kuro,5
Pica,6
Mohji,2
Chouchou,1
Charlotte Smoothie,2
Charlotte Linlin,2
Absalom,2
Kyros,6
Emporio Ivankov,3
Nefertari Cobra,2
Monet,10
Gin,2
Bell-mère,2
Clou D. Clover,1
Hatchan,1
Mont Blanc Noland,1
Iceburg,2
Otohime,2
Kalifa,2
Wanda,1
Denjiro,1
Bartolomeo,1
Dellinger,1
