character,comment_ids
Monkey D. Luffy,"jbyn8et,jbyn7af,jbymyhc,jbylrrc,jbylmjv,jbylgbz,jbyjlcd,jbyi7vr,jbyhmwt,jbyfwza,jbyfwuj,jbyf42h,jcuuhxg,jcuu4ie,jcuu0wn,jcupsza,jcunb7q,jdrzhat,jdryu1t,jdrxu6p,jdrv66z,jdruzeq,jdrumbc,jdrufmv,jeozm0g,jeoz80q,jeoy1ty,jeoxiqf,jeote0m,jeorv8i,jflrcia,jflqkz4,jflqfka,jfloqz4,jfloqz4,jflnnpf,jflni2r,jgil7k6,jgifd0w,jgi8hrl,jgi83la,jghz0f9,jhfdw6g,jhfdqwb,jhfd8r0,jhfd3oz,jhfc0rg,jhfbxwl,jhfahai,jhf9zgj,jhf9wwe,jhf9tff,jhf9kzn,jic8fed,jic8aq3,jic81uu,jic7r8h,jic7r8h,jic7n7p,jic7n7p,jic3yk4,jic3s8y,jic3m88,jibzw2x,jj8ro7a,jj8r6z5,jj8pe7x,jk5dsyy,jk5diz7,jk5cpie,jk5cp4b,jk5c18q,jk5as74,jk57lss,jk573xp,jk56aw8,jk5473r,jk5473r,jk53tj2,jl291nb,jl28zkk,jl26sqb,jl26fme,jl263ll,jlz73rw,jlz6uoj,jlz6kpe,jlz3bsz,jlz2wtl,jmwa13y,jmw9eiz,jmw7okf,jmw51zj,jmw4hdw,jnt8170,jnt7agi,jnt52ef,jom6ovf,jom5u6r,jphxrk8,jphxiyy,jphwv4z,jphus3r,jphu7q2,jphu6df,jqeuu45,jqetl7x,jqetj62,jqes86o,jrb46k2,jrb3avl,jrb0ejm,jrazq4u,jraziaw,jraz2dp,jraxerb,js82xc2,js82x1h,js827uq,js81qtz,js7zhil,jt5lkgq,jt5kz1a,jt5k4vw,jt5jajx,jt5i5vo,jt5i0jt,jt5g831,jt5fqu7,jt5fj3h,jt5e2zr,ju3vcr6,ju3pya1,ju3p6j4,ju3opry,ju3ny00,jv2c86g,jv2b34q,jv2avp4,jv2at88,jv291bv,jv28gor,jv27rv1,jw1f200,jw1ew7o,jw1e2mf,jw1dapt,jw1d7ch,jw19fp9,jw18qfb,jw18lra,jw18khi,jw17nhf,jw16lsq,jx140m9,jxzqgi2,jxzq1tn,jxzphrt,jxzpcj6,jxzogn5,jxzocyc,jyzhlet,jyzhc33,jyzgr77,jyzfxtz,jyze40t,jyzcxif,jyzccld,k001rh7,k0013rl,jzzw83q,jzzvb9r,jzztngr,k10tuvc,k10tpu6,k10s9kn,k10rrtx,k10rl5f,k10r696,k10qa5o,k10pilc,k10o25r,k10n6w2,k10m30z,k10khtz,k213lwd,k2103vc,k20vzkz,k31bc7m,k318nhx,k315jzc,k50hihr,k50fzi1,k50fc00,k50b7cs,k509ozk,k508tro,k508g4w,k6047w1,k602x1w,k6zkdbn,k6zgsds,k6zglra,k6zfz36,k6zfyiq,k6zbesm,k7yqe9x,k8yhx97,k8ygvn3,k8yfmlf,k9x519i,k9x3jh8,k9x1kt0,k9x17rm,k9x03z7,k9wuet0,kavbm3n,kavbaq1,kav8srm,kav61p2,kbuj9ri,kbuefsn,kbubi3o,kbu9z3l,kbu8var,kcsmunq,kcsmr1q,kcsmnxx,kcslgu3,kcsii7b,kcsg78l,kdscsj9,kds8jd0,kdrqqkl,kdroh46,kert3wd,kersl92,kerrwm5,kerrvj3,kerrn6t,kerqxja,kerqj2n,kerq4sb,kern1g5,kfqf4ub,kfqetwu,kfqeql7,kfqdr3d,kfqdmlm,kfqcc3i,kfqae5m,kfq80zn,kfq5odi,kfq49wo,kfq3l35,kfq0xcu,kgrnpvi,kgrmehx,kgrmdo5,kgrkbhd,kgrh4jm,kgrgcg2,kgrfz7o,khuixjy,khui7a2,khuhxf3,kixcjrn,kix6aye,kix5f5p,kix53as,kix45yy,kjzhj5c,kjzetav,kjzepq4,kjzc707,kowxynu,kowv70b,kpyy4gh,kpyxsop,kpyw865,kpyw6jl,kpyveyq,kpyv1ve,kpyu0on,kpys8su,kpyro8k,kpypxf4,kr0zuya,kr0yfhc,kr0vnzw,kr0v7mk,kr0v1bd,kr0u5fp,kr0u22n,kr0tgp2,kr0tc0h,kr0t18y,kr0stnk,kr0rr6n,kr0rpsl,kr0ri5l,kr0p71d,ks3lk33,ks3kgcr,ks3gull,ks3g0c1,ks3elb4,kt6miiw,kt6mgx3,kt6l8nn,ku98x82,ku96rl5,ku96j5u,ku938iu,ku92oyx,ku92fio,ku91jen,ku915aq,kvbjj97,kvbfwaf,kvbfo6g,kvbf9s2,kvbcsls,kvbcrqs,kvb8b9i,kwdliqr,kwdkbq7,kwdhjjb,kwdhdaz,kwdfubi,kwdfhzv,kwdezpe,kwdep06,kwdeel0,kxfpzgy,kxfp1q5,kxfojo7,kxfm99h,kxflppl,kxfi074,kxfc17r,kyiao7q,kyi9tmt,kyi7dxe,kyi5vil,kyi5nh8,kyi4j8c,kyi44he,kyi40qr,kyi26up,kyhzlx0,kyhzjy0,kyhz5lb,kyhyz7u,kzkd7un,kzkc0fj,kzk98km,lirb645,lira8n7,lir79ck,liqqdxg,ljwc9wx,ljwbzzt,ljwbw45,ljwab4f,ljwa55a,ljw9bro,ljw9bc7,ljw8nuo,ljw76rd,ljw71wl,ll15vtr,ll15ay5,ll14u6v,ll12hav,ll117sr,ll10mj8,lm5rrih,lm5qxa7,lm5q375,lm5ppia,lm5o28u,lm5nimc,lm5knbe,lm5iud6,lm5i1o8,lnakdgg,lnak03e,lnajssl,lnai2b9,lnaemad,lnad2ec,lnaavat,loemisg,loek07o,lpj96wl,lpj7d5x,lpj41p4,lpj0wto,lpizaov,lqns7o3,lqno7sd,lqnntjp,lqnkvpx,lqnjjsa,lqnhctj,lqnexh7,lqndx7l,lrrglzl,lrrcg4w,lrrb68d,lrrajfe,lrr8pbm,lsvxd01,lsvwjki,lsvwbtu,lsvvb6b,lsvq5yr,lu1yrl7,lu1rawj,lu1qm8t,lv81otg,lv81ok7,lv7y133,lv7shuw,lwgdf1o,lwgdcrn,lwgd73y,lwgcx2j,lwgcsj8,lwgcgvn,lwgcc72,lwgb456,lwgajm3,lwga4wu,lwg9h2u,lwg9ent,lwg7uvx,lwg7pm8,lwg7m67,lwg6x5d,lxmnml3,lys72bz,lys6v4g,lys6fqs,lys65w3,lys62k4,lys5be1,lys3xwb,lys3avt,lys341q,lys2x28,lys2j3e,lys0lvy,lzwuiaq,lzwuhnr,lzws4vl,lzwrsf9,lzwmcf0,lzwkumj,m12n4gi,m12mslu,m12mb0q,m12m8p1,m12m3dv,m12m1wf,m12le6d,m12l4yz,m12k5oq,m12jysy,m12jj2p,m12irkn,m12hu0u,m12hsu9,m12hlx5,m12h17s,m12h05f,m12gxah,m12gqd2,m12gnbz,m12fqsf,m12fkpu,m12evw6,m12ekg3,m27cgr2,m27ccdo,m27870k,m27137p,m3blwp0,m3biqn7,m3bh5st,m3bh4i2,m3bemv9,m4e6hoc,m5kdplo,m5kb8dx,m5ka5sn,m5k7aod,m5k6vod,m5k4x6w,m6sehci,m6sdnxj,m6sdcqv,m6sbygo,m6sami2,m6s7hdu,m6s6zd2,m6s6qlz,m6s6834,m6s60zn,m6s4pm4,m811vc2,m80ys0r,m80y49k,m80tfl8,m80sv6u,m80i7hk,m9ba391,m9b9kvz,m9b9j0g,m9b8til,m9b7xh1,m9b6eus,m9b5q9n,m9b4a4o,m9b48t2,m9b48wf,m9b46b3,m9b3z9c,m9b3qik,m9b2dmf,m9b1skh,m9b15d6,m9b0b7v,m9azoy1,m9azenv,m9az8bf,m9ayz4w,malofqf,malnf04,malmsg8,malit39,malit2f,malhz36,malh90p,malh41e,malfnx1,malfini,malekj4,maldyu1,mbvr9bm,mbvqfr0,mbvq425,mbvmprj,mbvli60,mbvl2ky,md49s8c,md42zsa,md42eqe,md4159b,md3xpau,md3vwen,md3vhwv,medx2r8,medtrw1,mfngw77,mfngl2j,mfnensg,mfndmc6,mfn5i4q,mgwbkfh,mgw8ozk,mgw8ei8,mgw6n2f,mgw67j4,mgw4p6z,mgw39n3,mgw1r6g,mgw1n27,mgvztxt"
Charlotte Katakuri,"jbyn8et,jbykvv9,jeote0m,jgil79w,jgil48b,jgij03g,jgicvuu,jhfd72u,jl29n09,jl27k4c,jl263ll,jl25zcg,jnt5m4s,jnt4s1w,jqes8y0,js827uq,jxzq1tn,k10psg5,k40uldm,k40ts45,kavbaq1,kav8srm,kdrqqkl,kixcjrn,kix5f5p,kpys8su,kpyrhjf,ku92zg9,kvbj73j,kwdjqzb,lirb645,liqmy92,lpj7d5x,lv81upn,lwg8gys,lxmpmnn,mfn89q2"
King,"jbyn7af,jbykvv9,jbyhmwt,jcuukm1,jcuufy0,jdrvlxr,jdrumbc,jflqrj5,jflqrj5,jflox6o,jflo21z,jflnyfw,jflni2r,jflmrsz,jgil79w,jgijxv8,jgi7gme,jhfadxj,jic3yk4,jibzzx8,jk58het,jk55uhi,jl29po8,jl29n09,jl29hij,jl298nw,jl293tl,jl28zkk,jl27sv3,jl27r2l,jl27k4c,jl26o1b,jl25zcg,jlz6uoj,jlz3v23,jmw5s8z,jnt95v7,jnt80f7,jnt6z75,jphy310,jphxkkj,js80fg2,ju3szxf,jw1ew7o,jw1asg3,jw1ajck,jw19eps,jxzrlgp,jxzq1tn,jxzodwe,jyzcxif,k003t13,k20yvgc,k315ghj,k40x8ag,k600cfq,k5zxrv6,k5zxned,k5zxgl5,k5zwi86,k7yomn1,k7yn917,k7yl7e7,k8ykbbx,k9wvhtz,k9wtc6d,kbufms0,kbuatgv,kcsnqs6,kcshqm6,kerrwm5,kix46ld,kix3xdy,kjzfrs9,kpyypyh,kr0y4yx,kr0t18y,kr0ri5l,ks3fk5j,ku96j5u,ku96erz,kvbfogw,kwdm038,kwdldag,kwdkbq7,ll0z6s4,lqnjrxt,lrr9lj9,lrr7y5p,lrr7oro,lsvwibt,lsvtu6q,lu1xk7f,lu1s00l,lv7oxnj,lv7nl4r,lzwm7xx,m12j5zh,m12hctz,m12e3bx,m4e4p18,m6seqx1,m6sb9i7,malekj4,md48v1c,mfngvfp,mfn61em,mgw39n3"
Trafalgar D. Water Law,"jbymr53,jbymbz8,jbyl00j,jbyhmwt,jbyh3ex,jbygzkl,jbygfz9,jbyfzra,jbyewpe,jbyewkr,jbydoop,jds0d3h,jdryoi9,jdrydi9,jdrxe2h,jdrx4dw,jdrwkoj,jdrw90h,jdrvr19,jdruq7c,jeoykh7,jeoxiqf,jeowjxq,jeov5ky,jeoujdc,jeoskz5,jgil7k6,jgikvuy,jgikqhb,jgikm0i,jgi7o3c,jgi4mcz,jghyphf,jhf9kzn,jic5wsh,jibzxu2,jk5bkne,jk58qwg,jk55uhi,jl26nsk,jom403l,jphyllu,jphy5vv,jphxrk8,jphxiyy,jphwv4z,jphvxru,jphvbvi,jphunvm,jphud54,jphu4up,jphtxd4,js7zhil,jt5ls4a,jt5kjed,jv275yc,jx14njh,jyzcxif,jzzsdze,k20zyx6,k20zmc1,k31bhh5,k318vfn,k317en8,k315jzc,k31594q,k50bplx,k6018r3,k9wwv5w,kcsmnxx,kgribjb,kjzljq7,kjzcagl,kpyy37f,kpyx47w,kpyw7uw,kpyveyq,kpyswpc,kr0u8ur,kxfptk5,liqohch,ljw9bro,ll12hav,lm5nimc,lm5h09g,lu1uejo,lv81kkj,lzws4vl,m12mb0q,m12le6d,m12fmu6,m27753d,m275z00,maldmk9,mbvtc92,md41qar,md3yb81,md3xgph,medyhbt,mfn7msj"
Akainu,"jbylxhk,jbyi7vr,jdrujkc,jflrcia,jflps31,jflp7sp,jflounn,jflmrsz,jflme9g,jj8qljs,jj8piyt,jj8pe0t,jj8p5v2,jj8o6x1,jj8nzte,jmw8vie,jmw8hcq,jmw823e,jmw585r,jnt9rk0,jphxfiq,jphv5hl,jqetl7x,jrb69xv,jraxln9,js842bx,js82wwk,js81f9g,jt5gouf,ju3sken,jv287wd,jx122qf,jzzvep2,jzztqnt,jzzt047,k10s9kn,k10rl5f,k10qgjr,k10o8f8,k10kugf,k21058q,k20yabc,k20xbk2,k20vzkz,k20vuor,k315ghj,k602x1w,k5zxrv6,k5zt8zh,k6z97o2,k8yhx97,kbukwjd,kbukja4,kbukap0,kbui3ga,kerqj2n,kfq0bzt,kix8lls,kix67w6,kjzg4qb,kowv7vs,kowuwvj,kowoftd,kpyrpz0,kpyrhjf,ks3n3g3,ks3lk33,ku94qll,ku92nwg,kvbj73j,kyi7o7d,kyi4uy9,lirb19e,liqo89y,ljwdjcb,ll10mj8,lm5qnj8,lrrdo0s,lsvvb6b,lsvuiw9,lu1xlrs,lu1o2kr,lv7zixg,lwgcyfn,lys36ix,lzwuhnr,lzwnrdi,lzwkumj,lzwkr7z,lzwidsz,m3bfbzp,m4e73o1,m5k8qnf,m5k80sy,m5k6e9x,m5k6cbb,mbvnfcc,md410a7,medusis"
Bartolomeo,"jbylxhk,m4e56bg"
Roronoa Zoro,"jbylpbm,jbylmjv,jbyha4v,jcurhij,jds0oll,jdrxym8,jdrxe2h,jdrvroq,jdrvj29,jdrutwo,jeov56n,jeotimz,jeote0m,jflox6o,jflo21z,jgijjmm,jgifd0w,jgi83la,jgi7tmz,jgi294x,jhfbpz4,jhfa3qn,jhf9e6h,jic5ee3,jic2vbr,jic15fe,jic0yhu,jj8o6j9,jk58qwg,jk573xp,jk55uhi,jk53tj2,jl29po8,jl29pgf,jl29961,jl298nw,jl28zkk,jl28rsz,jl28piw,jl28piw,jl28eu9,jl27xz5,jl27r2l,jl26o1b,jl26nsk,jl26fme,jl263ll,jlz6uoj,jlz2wtl,jmw8wib,jmw5s8z,jntaux9,jntaaw0,jnta6ge,jnt8170,jnt6z75,jom7kh5,jom7f9l,jom6vek,jom3b6b,jphy5vv,jphxe32,jphwiuc,jqex1qa,jrayvqn,jraxerb,js7zaf1,js7z2it,jt5jk61,jt5i5vo,ju3rnkv,jv2bvz6,jv29nm1,jv291bv,jw1ew7o,jw18glz,jx14es1,jx14e9o,jxzt03q,jxzskkd,jxzscqb,jxzs8hb,jxzs313,jxzs2y7,jxzrvyz,jxzrlgp,jxzrhv5,jxzr3qh,jxzr14r,jxzqmaj,jxzqjra,jxzqj1m,jxzq1tn,jxzpkwt,jxzpjfv,jxzpa78,jxzosv5,jxzodwe,jxzocyc,jyzjbk3,jyzhlet,jyzcxif,k0041q1,jzzzvcj,k10m30z,k213hza,k210nzu,k20zmc1,k31bc7m,k3177qd,k40w8er,k40w7ix,k40txfp,k40towx,k50dors,k600n2z,k6zglra,k6zfyiq,k6z9zbz,k8yk2o0,k8yhfxz,k9wtcwu,kavbm3n,kav93b9,kav8srm,kcspagq,kcsogm6,kcsn70d,kcslgu3,kcsii7b,kcshbn0,kcsg78l,kdsbnje,kdrv354,kerrwm5,kerq4sb,kern1n0,kerjpr8,kfqe4pv,kfq96w5,kfq45x8,kgrmzp1,khuhxf3,khug5i8,kixckpm,kixcghd,kixc3p3,kix9j1f,kix9bxy,kix6aye,kix5w1j,kix53as,kix4lig,kix46ld,kix45yy,kjzetny,kjzepq4,kjzd63j,kowywfr,kpyx7fc,kpyw9ho,kr102m6,kr0z9rm,kr0ymsb,kr0tc0h,kr0t18y,kr0ri5l,ks3s4iw,ks3rflg,ks3pbxx,ks3fk5j,ku96fms,ku91jen,ku915aq,ku90f01,kvbj367,kvbi43h,kvbfwaf,kvbfogw,kvbfc80,kvbezt0,kvbc5zb,kvbc1iu,kvba808,kvb8zkg,kvb8inf,kvb86wc,kxfbxew,kyiao7q,kyi9jwb,kyi40qr,kyi0er3,kzkgzcx,kzkay1s,kzk9z12,lirbfwb,lir1mtu,liqwe66,liqv0n3,liqqh9o,liqqdxg,liqpcwx,liqkbho,ljwbzzt,ljwa55a,ljw9gcy,ljw7clt,lm5rjwp,lm5nimc,lnah6z7,loeoz51,lqnjjsa,lrrayzz,lrr8pg4,lsvvmvq,lu1vvv5,lu1t6ge,lu1s9o9,lu1rskx,lu1pzp5,lu1ppe1,lu1po0b,lu1p9hi,lu1oe5b,lv81ok7,lv7yuh9,lv7y133,lv7wai5,lv7tyju,lv7s16u,lv7q7as,lv7p131,lwgdf1o,lwg8pvm,lwg7uvx,lwg6z9q,lxmly4d,lzwuiaq,m12fqsf,m3bemv9,m4e6pjt,m4e6o7y,m4e5fkw,m4e3r5z,m6seqx1,m6s97qc,m811vc2,m810ebt,m80ys0r,m80tfl8,m9b5q9n,m9b4a4o,m9b2sfb,malkujl,malekj4,mbvq425,mbvna34,mbvn6d0,mbvmprj,mbvlyau,mbvkn81,md4a8xx,md40itk,md3y0bj,md3xorl,medvmri,medu0qy,medsln8,mfngvfp,mfndnpd,mgw8ei8,mgw6ikg,mgw4i3z,mgw30b2"
Kizaru,"jbylmjv,jdrzi6r,jdrujkc,jeote0m,jhfadxj,jhf9zgj,jic6kza,jj8nzte,jk5as74,jmw4xwj,jrb6ix1,js81ytq,jt5kz1a,jt5kjed,jt5jk61,jt5idb5,jt5i0jt,ju3t0g9,jv287wd,jw1d9ar,jx0zv00,jxzskkd,jxzsdyl,jxzscqb,jxzrpdb,jxzr3qh,jxzphrt,jxzpcj6,k0013rl,k000ka5,jzzvb9r,k10ow33,k10l1z7,k10kugf,k50fzi1,k50cqzs,k50bz1y,k508tro,k6zljam,k6zkgru,k6zhnyn,k6zfyiq,k7yjop4,k8yi1ab,k9x5sa7,kavbaq1,kerpwu3,kfqetwu,kgrinfd,khuixjy,khuhxf3,kix9bxy,kix9avq,kix8lls,kix6f4a,kjzilq2,kjzhj5c,kjzetny,kjzetav,kjzd6pd,kowzaj0,kowxv5m,kowx6ym,kowv2o4,kowta3b,kowt72d,kowrg5s,kowrd4d,kowqy1k,kowo124,kr0y806,kr0u3mu,kr0rmym,ks3i6dw,ks3g0c1,kt6paub,kt6obg6,kt6mgx3,kt6lk6d,kt6l8nn,ku97jof,ku96oj6,ku96j5u,ku91c79,kvbfogw,kvbfo6g,kwdmd3b,kyibpky,kyi6c7a,kyi4uy9,kyi40qr,kyi26up,kyhyz7u,ljwe4tb,ljwdoit,ljwc9wx,ljwc1jb,ljw9bc7,ll15ay5,lm5qnj8,loekhx4,lqnexh7,lwgdcrn,lwga4wu,lwg7pnz,lwg7m67,lwg6x5d,lxml1va,lys6v4g,lys65w3,lys5be1,lzwl0oh,m12hzb3,m27753d,m9bam1r,m9b8til,m9b6ohc,md48nwu,md4680i,md4159b,md3wlqo,md3vwen,meds1tr,mfngl2j,mgw2y19,mgvzomk"
Imu,"jbyj6ej,jbyfq9f,jbyf42h,jcuuzme,jdrw90h,jdrvlxr,jgikm0i,jic83ky,jic6bdc,jj8roj0,jj8okyd,jj8o6j9,jk5c18q,jk5bvd5,jk59kgr,jk55u0w,jk53s3d,jl29kjt,jlz4vf4,jlz372e,jlz2l5m,jmwa13y,jmw9eiz,jmw9a46,jmw6nr8,jnt9w6e,jnt7euh,jqetl7x,jqetcfq,jt5ihsp,ju3u8n3,ju3qhpw,jv2b3gc,jv29iio,jw1cz4a,jw18xj0,jx17203,jx0yz6o,jyzhc33,jyzcxif,jzzwrte,k10o25r,k31clov,k507gay,k5zx49d,k5zujpp,k6zc5nf,k7ypjff,kav8srm,kav61p2,kbufb6r,kers6m0,kerraac,kgro0qe,kgrmqcn,kgrftq4,khuitdl,khughm8,kixbilv,kix9bxy,kix3xdy,kjzgvf8,kowv70b,ku98rvo,kvbgphx,kzk9olo,kzk98km,ljwdcca,ljw9b6b,ll12hav,lm5rvtj,lm5rcxp,lm5o28u,lm5ni0f,lm5juap,lm5hsxi,lm5fkol,lm5enf9,lnacsqp,lnacjxd,lnaasen,loep7zy,loep614,loelxib,loejlyj,lpj8oa2,lrr81tj,lsvtpy9,lv7sh8m,lzwki1x,m3bmbfh,m3bh7oq,m3bfbi5,m4e91u0,m4e401g,m6sekzz,m6sbkdu,m80nes3,m9b15d6,m9b14rz,mallr7l,malhvi7,malhl29,malex9n,mbvrn0v,md3wd8x,md3w5fh,medv0xc,medusis,mgw8ei8,mgw83fq"
Shiryu,"jbyiq1b,jic1n03,jqexcgr,jqex1qa,jt5icz7,kfq5odi,kfq49wo,kgrmdo5,kgrhic6,kgrfz7o,kt6lk6d,kvbfogw,kyi6x6c,liqz32z"
