character,count
Kizaru,343
Rob Lucci,235
Roronoa Zoro,723
Dracule Mihawk,267
Shanks,447
Monkey D. Luffy,2305
Kaidou,450
Smoker,49
Nico Robin,178
Sanji,552
Marshall D. Teach,178
Fujitora,31
Akainu,284
Koby,134
Boa Hancock,31
Monkey D. Garp,219
Garp,219
Franky,94
King,129
Edward Newgate,118
Yamato,132
Sabo,99
Rocks D. Xebec,39
Jaguar D. Saul,39
Aokiji,138
Trafalgar D. Water Law,217
Nami,163
Crocodile,72
Portgas D. Ace,146
Nefertari Vivi,35
Eustass Kid,98
Hack,52
Jack,70
Marco,53
Monkey D. Dragon,175
Brook,65
Sengoku,30
Jinbe,103
Enel,48
Silvers Rayleigh,66
Killer,34
Kaku,25
Jozu,109
Buggy,98
Usopp,252
Bartholomew Kuma,140
Tony Tony Chopper,59
Arlong,48
Donquixote Doflamingo,35
Gecko Moria,28
Dorry,28
Charlotte Katakuri,95
Queen,42
Imu,152
Carrot,43
