character,count
Kizaru,334
Spandam,9
Rob Lucci,190
Roronoa Zoro,720
Dracule Mihawk,267
Shanks,446
Monkey D. Luffy,1738
Kaidou,449
Smoker,49
Nico Robin,178
Sanji,546
Gin,8
Marshall D. Teach,177
Fujitora,31
Akainu,284
Koby,103
Coby,31
Boa Hancock,31
Monkey D. Garp,211
Garp,211
Franky,91
King,123
Yamato,132
Sabo,97
Shirahoshi,11
Jaguar D. Saul,39
Aokiji,137
Trafalgar D. Water Law,157
Holy,55
Kalifa,3
Perona,13
Nami,162
Sugar,8
Crocodile,71
Portgas D. Ace,146
Nefertari Vivi,35
Wyper,4
Van Augur,23
Eustass Kid,98
Monet,15
Donquixote Rosinante,2
Edward Newgate,70
Mont Blanc Noland,8
Rocks D. Xebec,38
Marco,53
Monkey D. Dragon,175
Brook,65
Sengoku,30
Jinbe,98
Enel,48
Silvers Rayleigh,66
Drake,9
Killer,34
Kaku,25
Vergo,11
Pica,9
Buggy,98
Usopp,252
Bartholomew Kuma,139
Tony Tony Chopper,59
Hody Jones,16
Arlong,48
Donquixote Doflamingo,35
Gecko Moria,28
Ryokugyu,10
Kanjuro,5
Bepo,13
Apoo,11
Imu,223
Pedro,18
Nefertari Cobra,14
Jozu,8
Cavendish,2
Charlotte Katakuri,95
Queen,42
Stronger,4
Kokoro,3
Merry,14
Charlotte Cracker,12
Bellamy,13
Carrot,43
Kumadori,6
Magellan,19
Tashigi,24
Hawkins,11
Shiryu,12
Ryuma,23
Kin'emon,5
Charlotte Pudding,12
Laffitte,9
Alvida,3
Kaya,4
Jack,18
Cabaji,1
Dorry,9
Helmeppo,4
Catarina Devon,6
Urouge,4
Caesar Clown,9
Jesus Burgess,6
Richie,1
Sogeking,9
Mont Blanc Cricket,3
Emporio Ivankov,15
Absalom,2
Yasopp,8
Hannyabal,4
Marguerite,4
Bentham,1
Jabra,11
Wapol,8
Nojiko,1
Sai,2
Leo,1
Karoo,2
Makino,1
Trebol,3
Charlotte Smoothie,3
Charlotte Linlin,7
Kuroobi,1
Hina,2
Capone Bege,3
Camie,2
Kuro,9
Sandersonia,3
Kawamatsu,1
Vista,16
Denjiro,1
Jango,2
Hatchan,3
Hogback,3
Dadan,3
Rebecca,3
Viola,2
Blueno,1
Wanda,1
Brogy,6
Shyarly,1
Paulie,1
Momonosuke,3
Kalgara,1
Kyros,5
Clou D. Clover,6
Bartolomeo,2
Koza,2
Marigold,1
Koala,4
Iceburg,1
Fullbody,1
Diamante,5
Nekomamushi,1
Satori,1
Tsuru,2
Bell-mère,3
Otohime,1
Hiriluk,1
Squard,1
Thatch,1
Aladine,1
Oars,1
Gedatsu,1
Riku Doldo III,1
